"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Nola, Aaron",605400,"PHI","FF","4-Seam Fastball",-0.4,-2,"475",30.3,"97","0.239","0.534","0.354",13.9,14.4,11.8,"0.253","0.549","0.366",45.3
"Alcantara, Sandy",645261,"MIA","SL","Slider",0.4,2,"456",15.8,"97","0.23","0.356","0.285",24.9,22.7,16.2,"0.305","0.512","0.373",46.3
"Yates, Kirby",489446,"LAD","FF","4-Seam Fastball",0.2,1,"440",57.7,"96","0.214","0.512","0.344",35.3,30.2,22,"0.21","0.482","0.333",41.1
"Bello, Brayan",678394,"BOS","FC","Cutter",0.2,1,"423",15.7,"96","0.23","0.437","0.331",24.6,15.6,19.7,"0.269","0.514","0.365",50
"Rodríguez, Yariel",684320,"TOR","FF","4-Seam Fastball",0.3,1,"472",40.8,"96","0.256","0.372","0.349",18.9,8.3,11.6,"0.283","0.453","0.383",40.8
"Boyle, Joe",671212,"TB","FF","4-Seam Fastball",-0.5,-2,"453",48.5,"94","0.241","0.43","0.37",26.8,14.9,13.2,"0.262","0.516","0.387",49.2
"Leahy, Kyle",681517,"STL","FF","4-Seam Fastball",0.9,4,"410",30.4,"93","0.237","0.388","0.32",21.8,25.8,23.8,"0.259","0.477","0.36",52.6
"Suárez, Ranger",624133,"PHI","FC","Cutter",0.5,2,"422",17.4,"92","0.303","0.562","0.377",20.2,14.1,22,"0.269","0.466","0.324",27.6
"Pepiot, Ryan",686752,"TB","SL","Slider",-1,-5,"463",17.2,"92","0.27","0.539","0.362",23.5,12,10,"0.304","0.578","0.382",38.5
"Quantrill, Cal",615698,"ATL","FF","4-Seam Fastball",-2.1,-9,"409",20.4,"92","0.354","0.598","0.43",19.8,19.6,11.7,"0.275","0.532","0.375",36.9
"Rodriguez, Eduardo",593958,"AZ","FC","Cutter",0.7,3,"407",15.7,"91","0.268","0.451","0.353",22,16.5,22.7,"0.259","0.442","0.333",27.9
"Cannon, Jonathan",686563,"CWS","FC","Cutter",-0.3,-1,"420",23.4,"88","0.263","0.513","0.378",26.4,18.2,25.4,"0.292","0.549","0.402",46.7
"Rodríguez, Randy",678495,"SF","FF","4-Seam Fastball",1.3,6,"448",55.4,"88","0.163","0.225","0.222",28.6,34.1,22.4,"0.185","0.29","0.247",37.3
"Montero, Rafael",606160,"DET","FF","4-Seam Fastball",0.3,1,"439",40.3,"86","0.229","0.371","0.342",24.5,19.8,12.9,"0.26","0.479","0.388",61.1
"Ginn, J.T.",669372,"ATH","SL","Slider",-1.2,-5,"406",25.8,"84","0.25","0.537","0.349",38.3,36.9,23.7,"0.204","0.409","0.27",40
"Canning, Griffin",656288,"NYM","FF","4-Seam Fastball",-0.3,-2,"463",34.5,"80","0.246","0.449","0.347",20,27.5,18,"0.248","0.537","0.375",54.2
"Milner, Hoby",571948,"TEX","ST","Sweeper",0.7,3,"406",35.1,"75","0.232","0.29","0.276",15.2,17.3,12.5,"0.245","0.434","0.309",31
